Country,ISO3,Population,ForeignBornPop,ForeignBornPercent,UrbanPercent,Urbanization,Mliteracy,Fliteracy,LiteracyDif,GDP,MedianAge,YUnemployment,PopGrowth
Uzbekistan,UZB,31299500,,0,36.4,1.45,99.7,99.5,0.2,2308.332096,28.1,,0.93
"Venezuela, RB",VEN,31108083,1156578,3.72,89,1.54,96.4,96.2,0.2,11068.87216,28,17.1,1.28
Cayman Islands,CYM,59967,,0,100,1.54,98.7,99,0.3,62131.95493,39.9,13.5,2.05
Samoa,WSM,193228,,0,19.1,-0.24,99.1,98.8,0.3,4005.999107,23.9,16.1,0.59
Italy,ITA,60802085,4803567,7.9,69,0.39,99.4,99,0.4,30462.38109,45.1,35.3,0.23
Mongolia,MNG,2959134,21515,0.73,72,2.78,98.2,98.6,0.4,3973.439901,27.9,11.9,1.25
Trinidad and Tobago,TTO,1360088,,0,8.4,-1.2,99.2,98.7,0.5,19062.8993,35.5,10.5,-0.17
Bulgaria,BGR,7177991,78787,1.1,73.9,-0.31,98.7,98.1,0.6,6846.77167,42.4,28.1,-0.6
Qatar,QAT,2235355,,0,99.2,6.02,97.4,96.8,0.6,73653.39443,33,1.3,2.64
Republic of Moldova,MDA,3554150,180935,5.09,45,-0.73,99.7,99.1,0.6,1591.357618,36.3,13.1,-1.04
Romania,ROU,19832389,150564,0.76,54.6,0.01,99.1,98.5,0.6,9120.65069,40.7,22.7,-0.32
Uruguay,URY,3431555,77003,2.24,95.3,0.53,98.2,98.8,0.6,15573.80851,34.7,18.5,0.29
Brazil,BRA,207847528,592567.54,0.29,85.7,1.17,92.2,92.9,0.7,8528.325051,31.6,15.4,0.75
Kuwait,KWT,3892115,,0,98.3,3.63,96.5,95.8,0.7,29303.89669,29.2,11.3,1.53
Croatia,HRV,4224404,584947,13.85,59,0.11,99.7,98.9,0.8,11479.40288,42.7,43.1,-0.5
Cyprus,CYP,1165300,196966,16.9,66.9,0.89,99.5,98.7,0.8,21941.90196,36.4,27.8,1.38
New Caledonia,NCL,273000,53642,19.65,70.2,2.17,97.3,96.5,0.8,33965.67142,31.7,,1.35
Nicaragua,NIC,6082032,34693,0.57,58.8,1.96,82.4,83.2,0.8,2086.891562,25.2,8.6,0.99
Botswana,BWA,2262485,,0,57.4,1.29,88,88.9,0.9,6360.61981,23.2,,1.19
